"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3562","SEARCH-05 Product Image Visible","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","4184","AUTH-03 Invalid Email Loginrahul@gmail","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3471","PRODUCT-11 Verify Add Your Review","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3575","PRODUCT-06 Verify Colour Selector","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2445","LOGIN-04 Invalid Email Formatrahul#gmail.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2221","LOGIN-05 Verify LogOut","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3495","SEARCH-01 valid SearchsHIRT","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3481","SEARCH-02 Invalid Search!@#$","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","4070","AUTH-03 Invalid Email Loginrahul@@gmail.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul gmail@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","AUTH-06 Invalid Name","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3643","SEARCH-01 valid SearchShirt","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2313","LOGIN-01 valid login","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3465","SEARCH-01 valid SearchSHIRT","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","SEARCH-02 Invalid Search!@#$","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3374","PRODUCT-09 Verify add to WishList","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3566","PRODUCT-03 Verify product Price","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3196","AUTH-03 Invalid Email Loginrahul.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul@@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","PRODUCT-09 Verify add to WishList","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2385","SEARCH-06 Product Title Visible","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3335","SEARCH-06 Product Title Visible","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3","PRODUCT-05 Verify Size Selector","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3576","SEARCH-02 Invalid Searchfgdjy","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2440","LOGIN-04 Invalid Email Formatrahul.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","4184","AUTH-03 Invalid Email Loginrahul@.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3517","PRODUCT-05 Verify Size Selector","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahulgmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","SEARCH-02 Invalid Searchfgdjy","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","AUTH-02 Signup with Existing Email","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2241","PRODUCT-11 Verify Add Your Review","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3662","SEARCH-01 valid Searchshirt","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3761","LOGIN-04 Invalid Email Formatrahul@@gmail.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","1940","PRODUCT-04 Verify product Image","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","4103","AUTH-01 Verify signup with valid data","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3766","LOGIN-04 Invalid Email Formatrahul#gmail.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3551","AUTH-03 Invalid Email Loginrahul@.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul@.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3192","AUTH-04 Empty Mandatory Fields","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2450","LOGIN-04 Invalid Email Formatrahul gmail@gmail.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2465","LOGIN-03 Mandatory Feild","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","4129","AUTH-05 Password Mismatch","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul gmail@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","SEARCH-01 valid Searchshirt","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3023","LOGIN-03 Mandatory Feild","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2423","LOGIN-04 Invalid Email Formatrahul@.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3567","SEARCH-02 Invalid Searchshirt123","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3582","PRODUCT-02 Verify product title","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","PRODUCT-10 Verify add to Compare","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul@.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","LOGIN-03 Mandatory Feild","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul@gmail","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3441","SEARCH-03 Partial Search","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3417","PRODUCT-07 Verify quantity update","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","5907","AUTH-01 Verify signup with valid data","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
